title,rating,genres,votes,synopsis,age_rating,mainLead1,mainLead2,startYear,endYear,writer,director,id,runtimeMinutes,image_url
The Legendary Witch,7.6,"Drama,Romance",52,"Soo In, Bok Nyeo, Pung Geum, and Mi Oh, are four female prisoners at a correctional facility who have been victims of a miscarriage of justice in different cases, which later turn out to have a common thread intertwined. They team up to challenge a big conglomerate in order to exact revenge. These four women forge a bond based on their common grievances and lean on each other for support. Though they are not related, they become a family of sisters.",,Han Ji-hye,Ha Seok-jin,2014,2015,['Goo Hyun-sook'],['Sung Woo Joo'],tt4449190,55,"https://m.media-amazon.com/images/M/MV5BNWQxM2NmZGMtZjQ4OC00MThkLTkxMGUtMGFiMjQ4OGQ2N2RmXkEyXkFqcGc@._V1_QL75_UX180_CR0,1,180,266_.jpg"
Between Him and Her,6.2,"Drama,Romance",48,"Hyeon-seong and Seong-ok, meeting after seven years, reflecting on their love and fatigue, standing alongside different partners in front of a motel elevator.",,Lee Dong-hae,Lee Seol,2023,2024,['Hyeono'],['\\N'],tt30293275,\N,"https://m.media-amazon.com/images/M/MV5BMjY1NjYxYzYtZDVhNi00ZGJlLWE2NzAtOGExNWMwYzhiMzFmXkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Pink Lipstick,7.5,"Drama,Romance",27,"Park Eun Hye stars as Yoo Ga Eun, a kind woman who discovers her husband's affair with her best friend. She marries a wealthy businessman as part of her revenge plan, then meets Ha Jae Bum, who offers unexpected love.",TV-Y,Park Eun-hye,Lee Ju-hyeon,2010,2010,['Hyeon-ju Seo'],['Chang-wook Choi'],tt5122902,40,"https://m.media-amazon.com/images/M/MV5BNWUxZjQzNTgtM2RhYS00OWM4LWI5NmItNGYwZjEwMzZkOGQ2XkEyXkFqcGc@._V1_QL75_UX180_CR0,7,180,266_.jpg"
Wonderful Mama,7.0,"Drama,Romance",31,"Despite modest roots, Yoon Bok Hee (Bae Jong Ok) excels as a financial lender and starts her own real estate business, eventually becoming a millionaire. The view is great at the top of her game, until Alzheimer's redefines her golden years. Bok Hee resolves to focus on her children, who all need major help in getting their acts together, especially eldest daughter Go Young Chae (Jung Yoo Mi), a gold-digging designer. Unexpected help arrives in the form of Jang Hoon Nam (Jung Gyu Woon), whose warmth, kindness and sense of responsibility stand to change Young Chae's life forever. Meanwhile, time is running out for Bok Hee - can she trust that her children will take care of themselves, her business - and her?",TV-Y,Bae Jong-ok,Jeong Yu-mi,2013,\N,['Hyeon-joo Park'],['\\N'],tt5147370,\N,"https://m.media-amazon.com/images/M/MV5BMmExYjA5ZGMtNGQwOC00MmM5LTg4MWYtZDQzMGQxZjY5ZDhjXkEyXkFqcGc@._V1_QL75_UX180_CR0,1,180,266_.jpg"
Korea's Next Top Model,6.2,Reality-TV,9,,,,,2010,\N,['\\N'],['\\N'],tt3291672,\N,"https://m.media-amazon.com/images/M/MV5BOThkM2M3OGItZjBjNS00MGZiLWEwN2ItNTUyY2I1ZTM0YzBlXkEyXkFqcGc@._V1_QL75_UY266_CR147,0,180,266_.jpg"
Left-Handed Wife,6.2,"Drama,Romance",25,"Lee Soo Ho and Oh San Ha are deeply in love. They have their wedding and go on a honeymoon. During their honeymoon, Soo Ho has an accident and loses his memory. Meanwhile, San Ha does not know what happened to her husband and tries to find him. A conspiracy lurks beneath.",,Ha Yeon-joo,Lee Soo-kyung,2019,2019,['Moon Eun-ah'],['Myeong-wook Kim'],tt9569338,\N,"https://m.media-amazon.com/images/M/MV5BYjQ1NGExNzAtMjVjNS00YWMyLTllOGUtNjUwMzkzNjc0Mjk0XkEyXkFqcGc@._V1_QL75_UX180_CR0,1,180,266_.jpg"
Her Bucket List,6.9,"Comedy,Drama,Romance",61,"Rari's entire world falls apart when her boyfriend dies. Overwhelmed with the pain of losing the love of her life, she decides to go through the bucket list they made together before joining him in death.",,Na In-woo,Kim Sohye,2021,2021,['\\N'],['Song Hyun Ju'],tt16492436,20,"https://m.media-amazon.com/images/M/MV5BNDc3MzVlNTQtNjU2Yi00NzA2LWE2YjAtZDAxN2MyOTFmNjkwXkEyXkFqcGc@._V1_QL75_UX180_CR0,3,180,266_.jpg"
Twelve Nights,6.5,Drama,68,"""12 Nights"" is a travel romance drama that tells the story of a man and a woman who spend 12 nights together during their three trips.",,Han Seung-Yeon,Shin Hyun-soo,2018,2018,['\\N'],['\\N'],tt9072270,\N,"https://m.media-amazon.com/images/M/MV5BNzljYzg4MzUtZjYyOS00ZjMxLWIwYzUtMjJiZjQ2Mjk3NGE0XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Eeo siti,6.3,"Action,Drama,Romance",49,"An intense drama revolving around the security operations of Korea's main airport, with criminals of varying stripes trying to get in and out of the country.",TV-Y,Joo Sang-uk,Park Tam-hee,2007,2007,"['Seo-yun Lee', 'Seon-hee Lee', 'Lee Myung Hee']",['Tae-woo Lim'],tt1672137,60,"https://m.media-amazon.com/images/M/MV5BMzcwNzQ5YjctYjEzNi00ZjMzLTg2N2MtY2Q2NzJiZjcwZmQ1XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Real Men 300,7.9,"Documentary,Drama,Reality-TV",27,"Real Man 300 (Jinjja Sana-i 300) is a South Korean reality program featuring male and female celebrities as they experience life in the military. It is a spin-off of reality program Real Man (2013) which was ended at the end of 2016. It aired on MBC every Friday at 21:50 (KST) from September 21, 2018 to January 25, 2019.",,Lee Si-young,Lee Si-young,2018,2019,['\\N'],"['Min Keun Choi', 'Seung-Min Jang']",tt10564170,70,"https://m.media-amazon.com/images/M/MV5BM2Q0NDBhZGQtMTc2Ni00ODMyLWI5NTctYjhjMGNmNDJmNjJmXkEyXkFqcGc@._V1_QL75_UY266_CR1,0,180,266_.jpg"
