title,rating,genres,votes,synopsis,age_rating,mainLead1,mainLead2,startYear,endYear,writer,director,id,runtimeMinutes,image_url
The Potato Lab,7.0,"Comedy,Drama,Romance",2.3K,"Mi-kyung's potato-focused world changes when she meets the practical Baek-ho, sparking a spiraling romantic comedy about healing and growth.",,Lee Sun-bin,Kang Tae-oh,2025,\N,['Kim Ho su'],['\\N'],tt35665377,70,"https://m.media-amazon.com/images/M/MV5BZjgzNGMyYjItNDIwMS00MmEzLTliMDUtOWExZWM0NGE3Y2YxXkEyXkFqcGc@._V1_QL75_UY266_CR1,0,180,266_.jpg"
Shark: The Storm,7.1,"Action,Crime,Thriller",578,"Cha Woo-sol, a victim of school bullying for three years, is released from prison and becomes a criminal and a world mixed martial arts champion.",,Kim Min-Seok,Lee Hyun-wook,2025,\N,['Min Ji'],['Kim Geon'],tt36808372,\N,"https://m.media-amazon.com/images/M/MV5BYjczYjdmY2UtZmM3Ny00OGI1LWFjNGEtZjRhN2IwZTA1YmFlXkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Dr. Romantic,8.4,"Drama,Romance",6.3K,"""Romantic Doctor Kim"" is a ""real doctor"" story set in a small, humble hospital called Dol Dam Hospital. It is a story about people who meet Kim Sa Bu (Han Suk Kyu), a genius doctor, and discover ""real romance.""",TV-14,Lee Kyu-ho,Han Suk-kyu,2016,2023,['Kang Eun-kyung'],['Yu In-sik'],tt6157190,60,"https://m.media-amazon.com/images/M/MV5BM2FlMDI4YzQtMzhhZi00N2Y5LTg2NDgtZjllNzI2YjdmMmI5XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Doona!,7.0,"Comedy,Drama,Romance",7.3K,Follows the romance between a freshman college student and an established female pop idol.,TV-14,Bae Suzy,Yang Se-jong,2023,\N,"['Jang Yu-ha', 'Min Song-a']",['Lee Jung-hyo'],tt24245988,50,"https://m.media-amazon.com/images/M/MV5BOTI1M2RmMDMtMzk1OS00YTAwLTg5YzktZGVkMTU5YWZmN2I0XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
The Nice Guy,6.6,,645,"Park Seok Cheol, a gangster family's grandson with a pure heart, falls for aspiring singer Kang Mi Yeong. He navigates life's challenges while protecting his family, career, and love.",,,,,,['Woon-Kyung Kim'],['Hae-sung Song'],tt37439947,,"https://m.media-amazon.com/images/M/MV5BMmQwNjZkYzYtZDZhMy00YTU2LWE1M2YtNzgyNjFhMWMzODUyXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Family by Choice,8.3,"Comedy,Drama,Family",2.5K,A youth romance about two men and woman who aren't blood related but treated each other as family during their teens and how they meet again after 10 years.,,Choi Won-young,Kim Hye-Eun,2024,\N,['\\N'],['Seung Ho Kim'],tt30365813,\N,"https://m.media-amazon.com/images/M/MV5BNjk4YjhiNGEtNTJkMi00MWU3LThkNDUtODc4MmY0NjI4Mjc3XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Start-Up,7.9,"Comedy,Drama,Romance",18K,Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.,TV-14,Bae Suzy,Nam Joo-hyuk,2020,2020,['Park Hye-ryeon'],['Choong Hwan Oh'],tt12867810,80,"https://m.media-amazon.com/images/M/MV5BYTJiYmE0ZGItMmU1NS00NThhLWIzODEtZmJlYjBmMzcwNmY3XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Little Women,7.7,"Action,Drama,Mystery",8.9K,The exciting story of three sisters with a close bond who grew up in poverty then become embroiled in a major incident and face off against the wealthiest family in the nation.,TV-MA,Kim Go-eun,Nam Ji-hyun,2022,2022,['Chung Seo-kyung'],['Kim Hee-won'],tt21828868,75,"https://m.media-amazon.com/images/M/MV5BOWRkY2ZlZTYtNmFiZC00NThjLWFjZTItODZkNjIxZDA2NDU4XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
The Good Bad Mother,8.4,"Comedy,Crime,Drama",6.8K,"A tragic accident leaves an ambitious prosecutor with the mind of a child, forcing him and his mother to embark on a journey to heal their relationship.",TV-MA,Ra Mi-ran,Lee Do-hyun,2023,\N,['Bae Se-yeong'],['Shim Na-yeon'],tt27042206,70,"https://m.media-amazon.com/images/M/MV5BMzk1YmY3Y2ItMzMzMy00M2NlLWFjMmYtYzMyMzkxM2Y3NGEyXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Weightlifting Fairy Kim Bok-Joo,8.3,"Comedy,Romance",16K,"A coming-of-age story about a group of college athletes who are fighting for their dreams, experiencing and finding love in the process, and growing every step of the way.",,Lee Sung-kyung,Nam Joo-hyuk,2016,2017,['Yang Hee Seung'],['Hyun Jong Oh'],tt6157148,60,"https://m.media-amazon.com/images/M/MV5BMDcyZmUyZGYtMGFiYi00OGVlLTk4MzktYTM4MDJmNTU1ZDE5XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Physical: Asia,,Game-Show,,"Elite athletes from eight countries battle for national pride. After grueling tests of raw strength and endurance, only one flag can claim victory.",TV-MA,,,\N,\N,['\\N'],['\\N'],tt35664835,\N,"https://m.media-amazon.com/images/M/MV5BODBlZWRjNzgtYTM4MS00NjIzLWIyYjQtMzQ2MjFiNDg5NTc3XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Heavenly Ever After,7.3,"Comedy,Drama,Fantasy",1.2K,"After passing at 80, Lee Hae-sook enters Heaven keeping her elderly appearance, while her husband Ko Nak-joon appears as his 30-year-old self. As Heaven's postman, he delivers Earth's wishes as they begin their afterlife together.",,Han Ji-min,Son Suk-ku,2025,\N,"['Lee Nam-Gyoo', 'Kim Su-jin']",['Suk-Yoon Kim'],tt36455912,\N,"https://m.media-amazon.com/images/M/MV5BZGE4MTNhNTgtY2I3YS00NmNmLWE1NWUtMmJkM2YzNjVhZjE0XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
The Devil's Plan,8.3,"Game-Show,Reality-TV",5.8K,"In this competition of intelligence, contestants face off in games of wit and strategy to be crowned winner and go home with the ultimate prize.",TV-14,Andrew Ge,Kevin Matsumoto,2023,\N,['\\N'],['\\N'],tt27995115,60,"https://m.media-amazon.com/images/M/MV5BNmE3ZWZkMWQtNzY3Ni00MzZiLTljYTItMTM2MmZlZjE0MjAxXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
See You in My 19th Life,7.7,"Comedy,Drama,Fantasy",11K,"Ban Ji-eun can remember all her past lives. When her previous life is cut short by a tragic accident, she sets out to reunite with a man named Moon Seo-ha whom she met in her 18th life.",TV-14,Shin Hye-sun,Ahn Bo-hyun,2023,2023,['Min Ye-ji'],['Lee Na-jeong'],tt27838483,70,"https://m.media-amazon.com/images/M/MV5BZjQwNzRkMWItYzI5Yy00M2IwLWE2MDAtZDVjMjI5YWMxZDA2XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Legend of the Blue Sea,8.1,"Comedy,Drama,Fantasy",15K,"A mermaid from the Joseon period ends up in present-day Seoul, where she crosses paths with a swindler who may have ties to someone from her past.",,Jun Ji-hyun,Lee Min-ho,2016,2017,['Park Ji-eun'],['Jin Hyuk'],tt5766194,60,"https://m.media-amazon.com/images/M/MV5BMDlhOGNhNGQtZTM3Mi00NWJmLTg0ODItZDJkYjExZGMyNjI3XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Treasure Island,7.4,"Crime,Drama,Mystery",1.7K,"A man hacks a secret political slush fund of 2 trillion won for survival. An elite figure kills him for the fund, only to find it empty, leading to chaos and betrayal. True motives behind the slush fund emerge, leaving everyone vulnerable.",,Park Hyung-sik,Huh Joon-ho,2025,\N,['Lee Myung Hee'],['Chang Gyu Jin'],tt33398245,70,"https://m.media-amazon.com/images/M/MV5BZmNkOWVkMDAtMzNiNS00OGY3LTk0YmQtNWU3MTU0NzM3YTcwXkEyXkFqcGc@._V1_QL75_UY266_CR1,0,180,266_.jpg"
Melo Movie,7.1,"Drama,Romance",4.2K,"A jaded film critic reunites with an aspiring director after years apart due to a mysterious event. Their reunion triggers buried memories and emotions, leading them to confront their shared past.",,Choi Woo-sik,Park Bo-young,2025,\N,"['Lee Na-eun', 'Choong Hwan Oh']",['Choong Hwan Oh'],tt35450649,60,"https://m.media-amazon.com/images/M/MV5BMDA4Mzc5NTItY2U4ZC00OTQwLTgwZmEtZGY5NGRlOWFhMWI0XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Blind,8.0,"Drama,Mystery,Thriller",2.3K,"A homicide squad detective, suspected of serial murder, searches for the real culprit.",,Taecyeon,Ha Seok-jin,2022,2022,['Ki-Kyeong Kwon'],['Yong Hwi Shin'],tt21631058,\N,"https://m.media-amazon.com/images/M/MV5BOGZlMGE0YWEtZTdlOS00ZGZkLTkxNGYtZmUwMjQwNmY5YmVlXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The Frog,6.8,"Crime,Drama,Mystery",5.7K,"A man's life unravels when a mysterious woman arrives at his motel one summer, forcing him to grasp tightly to what he cherishes most.",TV-MA,Yoon Kyesang,Go Min-si,2024,2024,['Son Ho-young'],['Mo Wan-il'],tt26767508,60,"https://m.media-amazon.com/images/M/MV5BZGM4Y2VhYjMtZGMzYS00YTI5LTk5NWUtMTcxNTJlOGMyZGE2XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Something in the Rain,8.0,"Drama,Romance",11K,"When a single career woman reunites with her best friend's younger brother after he returns from three years of working abroad, their efforts to reconnect grow into romance.",TV-MA,Son Ye-jin,Jung Hae-in,2018,2018,['Kim Eun'],['Pan-suk Ahn'],tt8078816,75,"https://m.media-amazon.com/images/M/MV5BNDgwNDQ1NzAtNzU5Yy00YWE4LWFhNWQtYjM2NGViY2E0YTFlXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Dear X,,,,"A woman dons a mask to flee her situation and rise to power, causing devastation along her path.",TV-MA,,,,,['\\N'],"['Lee Eung-bok', 'nm17576365']",tt37890201,,"https://m.media-amazon.com/images/M/MV5BNGMxM2VmNzAtNDA1MS00Njk1LThjOTItZTFhMjE2NjYzYWE4XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Daily Dose of Sunshine,8.1,Drama,5.4K,"Determined to provide a ray of light for those under her care, a young nurse navigates the world of mental health and the diverse stories surrounding it.",TV-14,Park Bo-young,Yeon Woo-jin,2023,2023,"['J.Q. Lee', 'Oh Bo-hyun', 'Da Hee Kim', 'Nam-su Kim', 'Lee Nam-Gyoo']",['J.Q. Lee'],tt26258202,60,"https://m.media-amazon.com/images/M/MV5BMmJkMDlkNDYtYTU2NS00NTUxLTg1NWUtMzM2NWU3MWEyNGNhXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Hierarchy,6.1,"Drama,Romance,Thriller",4.5K,"The top 0.01% of students control law and order at Jusin High School, but a secretive transfer student chips a crack in their indomitable world.",TV-MA,Roh Jeong-eui,Lee Chae-Min,2024,\N,"['Hyemi Chu', 'Hye Lim Chu', 'Bae Hyeon Jin']",['Bae Hyunjin'],tt27763561,75,"https://m.media-amazon.com/images/M/MV5BMjgyZWE4NDUtNWVkMC00NjcxLTkxNWEtMGE5Mjc3ZWEwYTcxXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Extracurricular,7.6,"Crime,Drama",11K,A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.,TV-MA,Kim Dong-Hee,Park Ju-hyun,2020,2020,['Jin Han-sae'],['Jin-min Kim'],tt10262630,50,"https://m.media-amazon.com/images/M/MV5BMmNhNWFiM2ItMTA4ZC00YmNiLTk0NmMtNjcxYTNiNjY4MzJmXkEyXkFqcGc@._V1_QL75_UY266_CR1,0,180,266_.jpg"
The Witch,7.0,"Mystery,Romance",1.1K,"Park Mi Jeong, became a translator because of her excellent English skills. Despite her beauty, she led a solitary life, earning the nickname ""witch"" as men fell in love with her mysterious charm.",,Park Jin-young,Roh Jeong-eui,2025,\N,['nm17686987'],['Tae-Gyun Kim'],tt27712331,\N,"https://m.media-amazon.com/images/M/MV5BOGZlMzZhNTctMzU0YS00ZTQwLWI5Y2MtYzk0NjYwMjA4NzBkXkEyXkFqcGc@._V1_QL75_UY266_CR2,0,180,266_.jpg"
SKY Castle,8.5,"Drama,Mystery",4.9K,A satirical drama that closely looks at the materialistic desires of upper-class parents in South Korea and how they ruthlessly secure the successes of their families at the cost of destroying others' lives.,,Yum Jung-ah,Jeong Jun-ho,2018,2019,['Yu Hyeon-mi'],['Jo Hyeon-tak'],tt9151274,75,"https://m.media-amazon.com/images/M/MV5BNjMzMTY0ZTAtMTNkNC00YzZhLTg3ZjUtMjg5ZmVlM2YzODc0XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Fight for My Way,8.1,"Comedy,Romance",12K,"Ko Dong Man, a former taekwondo champion, and Choi Ae Ra, a receptionist, struggle to follow their dreams as life throws obstacles in their path.",,Park Seo-joon,Kim Ji-won,2017,2017,['Im Sang-choon'],['Lee Na-jeong'],tt6824234,70,"https://m.media-amazon.com/images/M/MV5BYmRiMzU4YTQtYTUyMi00YjJlLWJlYWUtYjI4MTg3ZWY5OTk4XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Iris,7.7,"Action,Mystery,Romance",2.6K,"The National Security Service (NSS) is a secret South Korean black ops agency that takes on a secret terrorist organization, called IRIS.",TV-14,Kim Yeong-cheol,Yun Ju-sang,2009,2013,"['Kim Jae-eun', 'Kang Je-kyu', 'Kyu Won Jo', 'Hyun Joon Kim']","['Kim Kyoo-tae', 'Yun-ho Yang', 'Tae-hun Kim', 'Pyo Min-soo']",tt1757202,60,"https://m.media-amazon.com/images/M/MV5BYmYyNzA0OGUtZjQxOC00MzdmLTk2NDQtZTQzNTk4ZDA4MjkxXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Because This Is My First Life,8.0,"Comedy,Drama,Romance",10K,"Ji Ho is a single woman. She's a writing assistant of dramas. She's a strong and determined woman. Unfortunately, she has to leave her house and seeks other place to live. Her friends help her to find a roommate. That roommate is Se Hee.",,Jung So-min,Lee Min-ki,2017,2017,['Nan Joong Yoon'],"['Sung-Woo Nam', 'Park Joon-hwa']",tt7278588,70,"https://m.media-amazon.com/images/M/MV5BYTU4OTk4MjQtMzdmYi00ZDYyLWEzZWMtOTEzNDI3Y2JkNDVkXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
The Devil Judge,8.2,"Crime,Drama,Mystery",5.9K,"During a time of chaos, a judge turns the court into something like a reality show and punishes evil people mercilessly.",TV-14,Ji Sung,Kim Min-jung,2021,2021,['Yoo-Seok Moon'],['Jung Kyu Choi'],tt14169770,75,"https://m.media-amazon.com/images/M/MV5BZmU5ZDZhMTktOTAzZC00NTk1LWIyZWQtMTBjMTBiOGJkYWMxXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Uncontrollably Fond,7.7,"Comedy,Drama,Romance",4.9K,"The memory of their painful breakup still fresh in their minds, two former lovers reunite years later as a top actor and a documentary producer.",TV-14,Kim Woo-bin,Bae Suzy,2016,2016,['Kyeong-hee Lee'],"['Park Hyun Suk', 'Cha Yeong-hoon']",tt5764282,60,"https://m.media-amazon.com/images/M/MV5BYzIyNjc3YTUtN2MwMy00NzcwLTkwMGMtN2I0ODNjYjlkNGNlXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
Red Sleeve,8.4,"Drama,History,Romance",3.9K,"Based on a novel of the same name, it tells the record of a royal court romance between the King of Joseon who places his duty to his country first above love, and a court lady who wants to protect the life she has chosen.",TV-14,Lee Ji-wan,Park Seo-Kyeong,2021,2022,"['Jung Hae-Ri', 'Kang Mi-Kang']","['Jung Ji-in', 'Yeon-hwa Soon']",tt14687200,70,"https://m.media-amazon.com/images/M/MV5BYzBmMzAwNzItZDZmOS00NzdiLWFjODAtOTM0ZGQzZmJmMjI3XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
My Love from Another Star,8.2,"Comedy,Drama,Fantasy",19K,"Do Min-Joon, an alien that came to our planet 400 years ago, will be able to return to his planet in 3 months, but when he meets famous actress Chun Song-Yi, all the centuries he spent distancing himself from humans come to an end.",Not Rated,Jun Ji-hyun,Kim Soo-hyun,2013,2014,"['Lucal Wesker', 'Park Ji-eun']","['Jang Tae Yoo', 'Tae You Chang']",tt3469052,60,"https://m.media-amazon.com/images/M/MV5BMjM4MzhmYTAtY2EwYi00ZTI1LWI0OTYtZmNkNzFiYWM0NzU2XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Backstreet Rookie,7.5,"Action,Comedy,Romance",6.3K,A former troublemaker applies for a job at a convenience store owned by the same man who ran errands for her a few years ago.,,Kim Yoo-jung,Ji Chang-wook,2020,2020,"['Geun Joo Son', 'Active Volcano']",['Myoungwoo Lee'],tt12516712,60,"https://m.media-amazon.com/images/M/MV5BNWY3YWZhMGItMGNmNC00ZDMxLWEzYmMtYTE1M2IzM2NhNGQxXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Law and the City,6.2,,1.4K,"Five attorneys at a law firm navigate cases and build friendships. They include An Ju Hyeong, a competent but detached senior lawyer, and Kang Hui Ji, a passionate junior associate who believes in changing lives.",,,,,,['\\N'],['Park Seung-Woo'],tt37260466,,"https://m.media-amazon.com/images/M/MV5BNDI1OGU0OGItYjE1YS00MTViLThiYmMtMDFmYzAwM2ViOTU5XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The Silent Sea,6.9,"Adventure,Drama,Mystery",28K,"During a perilous 24-hour mission on the moon, space explorers try to retrieve samples from an abandoned research facility steeped in classified secrets.",TV-MA,Bae Doona,Gong Yoo,2021,2021,['Park Eun-kyo'],"['Choi Hongyong', 'Choi Hang-Yong']",tt11570202,45,"https://m.media-amazon.com/images/M/MV5BMmRmN2JiMDktNWRkNS00NGYwLWI2ZGEtZTE0ZTc0ZWIwMTUxXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Tomorrow,8.0,"Action,Comedy,Drama",16K,"Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions.",TV-14,Kim Hee-seon,Kim Ro-Woon,2022,2022,"['Llama', 'Park Ran']","['Sung Chi-wook', 'Tae-Yun Kim']",tt18926162,60,"https://m.media-amazon.com/images/M/MV5BZWI1ZjQxNzktYzVmYy00MTJjLTgzMGQtMzZlZjdiYWIyNzU3XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Undercover High School,7.7,"Action,Comedy,Thriller",3.4K,"Ace NIS agent Jung Hae-seong is demoted after a mission failure. He goes undercover at a high school to locate King Gojong's missing gold, meeting his teacher Oh Soo-ah, who sees him as her lost first love, stirring old heartbreak.",TV-14,Seo Kang-joon,Jin Ki-joo,2025,\N,['Im Young Bin'],['Choi Jung-In'],tt33364760,70,"https://m.media-amazon.com/images/M/MV5BYThhNWJhMDAtNDE0Yi00YTAyLThhNGMtYzY0NTFjM2M4MTQ1XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Snowdrop,8.1,"Crime,Drama,Romance",15K,"Adapted from the handwritten notes of a man who escaped from a political prison camp in North Korea, ""Snowdrop"" is set against the backdrop of the 1987 Democracy Movement in South Korea.",TV-14,Jung Hae-in,Kim Jisoo,2021,2022,"['Yu Hyeon-mi', 'Dawn Anderson']",['Jo Hyeon-tak'],tt13304700,85,"https://m.media-amazon.com/images/M/MV5BMTVhYWIyYzMtYTUzYy00NTZlLWI2YjMtZTg3Yzk3YjczZWYzXkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
I'm Not a Robot,8.0,"Comedy,Romance,Sci-Fi",9.1K,"Kim Min Gyu has wealth and success, but lives an isolated life due to his allergy of people. He then meets and falls in love with a girl who is pretending to be a robot for her ex-boyfriend, a genius robots professor.",TV-14,Chae Soo-bin,Chae Soo-bin,2017,2018,"['Seon-mi Kim', 'Lucal Wesker']",['Dae Yoon Jung'],tt7521778,35,"https://m.media-amazon.com/images/M/MV5BZjk1YmVkYmQtNjRjMS00ODM5LTk0YzgtMjhjZWFlMWRiNWVjXkEyXkFqcGc@._V1_QL75_UY266_CR0,0,180,266_.jpg"
Shooting Stars,7.6,"Comedy,Drama,Romance",4.6K,"Oh Han Byul leads an entertainment agency's PR team. One of her top clients is star Gong Tae Sung who does no wrong. They went to the same university, where he became her sworn enemy. They bicker but soon develop feelings for one another.",,Lee Sung-kyung,Kim Young-dae,2022,2022,"['Yeon Seo Choi', 'Choi Young-Woo']",['Su Hyun Lee'],tt19800324,60,"https://m.media-amazon.com/images/M/MV5BMzlhMGRjMjgtYzIwYi00OWJhLWEzMmEtOGQ0ZWNlNTY4ODYzXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The Defects,7.4,"Action,Thriller",605,"A work dealing with buying abandoned children by their parents and selling them based on price and rating, as well as the illegal adoption cartel that provides a free refund service if you do not like the child while raising it.",,Yum Jung-ah,Won Jin-ah,\N,\N,['\\N'],['Ki-hwan Oh'],tt32132603,\N,"https://m.media-amazon.com/images/M/MV5BMjQ1ZTllMjctYzE2YS00M2IxLTg2MzQtZWQ1NGZjYWJjNWQ2XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Bad and Crazy,8.0,"Action,Comedy,Crime",6.5K,"A mysterious, justice-seeking entity throws chaos into the life of a cop who's willing to overlook ethics and corruption for a promotion.",TV-PG,Lee Dong-wook,Han Ji-Eun,2021,2022,['Se-bom Kim'],['Seon-Dong Yu'],tt15146202,70,"https://m.media-amazon.com/images/M/MV5BMjEzNTBmZDItMmZmNy00ZDdlLTk0MjItODZlZDIxZTFlNWY5XkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
My Lovely Liar,7.3,"Comedy,Fantasy,Mystery",3.1K,Tells the story of a woman who cannot trust people because of her ability to hear lies and a murder suspect who no one believes in.,,Kim So-hyun,Hwang Min-hyun,2023,2023,['Seo Jung-eun'],['Sung-Woo Nam'],tt27203727,\N,"https://m.media-amazon.com/images/M/MV5BMjkyNTg4ODEtNWE3NS00MDEzLTk3MjQtZjYwNTM5NTM0NTU1XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Oh My Venus,7.7,"Comedy,Drama,Romance",7.8K,A lawyer in her thirties coming out of a long relationship decides to regain her figure and health after meeting a renowned personal trainer who obsesses with leading a healthy lifestyle after suffering a serious injury in his childhood.,,So Ji-seob,Shin Min-a,2015,2016,['Kim Eun-ji'],"['Kim Hyung-suk', 'Lee Na-jeong']",tt5189944,60,"https://m.media-amazon.com/images/M/MV5BNzA1Mzc1NTgtNDUwMS00NmYwLWFkOTItOWI3MTg2MWZhZjY2XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Rain or Shine,8.1,"Drama,Romance",3.9K,"A major accident takes the lives of 48 people. The lives of the survivors, those who lost loved ones and those connected to the parties blamed for the tragic event are also marked forever.",,Lee Jun-ho,Won Jin-ah,2017,2018,['Bo-Ra Yoo'],['Kim Jin-won'],tt7521898,70,"https://m.media-amazon.com/images/M/MV5BMmQ2MjYwOTQtZGI4ZC00Mjg5LTgyMDUtN2FiN2I0ZWZiZWRjXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Revenge of Others,7.6,"Action,Drama,Mystery",4.9K,Follows the story of Ok Chan-mi as she seeks revenge for the death of her twin brother.,TV-MA,Shin Ye-eun,Park Solomon,2022,\N,['Lee Hee-myung'],['Kim Yoo-Jin'],tt23032890,60,"https://m.media-amazon.com/images/M/MV5BNzc3MDgwMmEtOTU2MS00MGU4LWFjYWYtY2ExMDNiNGQ2MTY3XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Her Private Life,7.6,"Comedy,Drama,Romance",8.2K,"Follows a talented gallery curator named Sung Duk Mi, who is an idol fan-girl underneath her professional veneer. Meanwhile, her boss Ryan becomes a passionate fan-boy of her.",TV-14,Ahn Bo-hyun,Park Jin-joo,2019,2019,['Hye Young Kim'],['Hong Jong-chan'],tt9899340,75,"https://m.media-amazon.com/images/M/MV5BNmZlMmE5ZTYtZGNmNi00YjFhLWIxNDMtMDk1YWYwZmEzNzZjXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The Winning Try,7.9,,810,"A disgraced former rugby star returns as a coach to his high school's struggling team, where he reunites with his ex-girlfriend and helps the determined captain lead the team to redemption.",,,,,,['\\N'],['\\N'],tt37509384,,"https://m.media-amazon.com/images/M/MV5BZTVmMWQ0NTctN2ViMC00NDE3LThhOWQtYjM5MWJmMGJkOWYzXkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Heirs,7.5,"Comedy,Drama,Romance",16K,"After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea's über rich.",,Lee Min-ho,Park Shin-hye,2013,2013,['Kim Eun-sook'],"['Kang Sin-hyo', 'Boo Sung-chul']",tt3243098,55,"https://m.media-amazon.com/images/M/MV5BZTgwZjZmMGQtMmE0My00YmM1LWJhMTctYTFhY2Q1ZDNjNWUwXkEyXkFqcGc@._V1_QL75_UY266_CR13,0,180,266_.jpg"
Physical: 100,7.7,"Game-Show,Reality-TV",12K,One hundred contestants in top physical shape compete in a series of grueling challenges to claim the honor - and cash reward - as the last one standing.,TV-14,,,2023,\N,['\\N'],"['Leah Patterson', 'Jang Ho-gi']",tt25274446,50,"https://m.media-amazon.com/images/M/MV5BMmZmZWVlMDQtYjhlYy00NzBmLWJlNzUtYzU5YjQ5YWRiZjVhXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
First Lady,6.3,,118,"Just two months before the president-elect is sworn in, he demands a divorce from his wife - but she dreamed of becoming the first lady.",,,,,,['nm17675224'],['Lee Ho-Hyun'],tt38255434,,"https://m.media-amazon.com/images/M/MV5BNWRhYWU4NDktYjAyZC00MGU0LWFhMGEtOGZmNWI1ZmMyMzNiXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Romance Is a Bonus Book,7.9,"Comedy,Drama,Romance",9.1K,A gifted writer who's the youngest editor-in-chief ever at his publishing company gets enmeshed in the life of a former copywriter desperate for a job.,,Lee Na-young,Lee Jong-suk,2019,2019,['Hyun-jung Jung'],"['Lee Jung-hyo', 'Na Yeong Kim']",tt9130542,62,"https://m.media-amazon.com/images/M/MV5BNmVmNmI0MzAtMzljNy00MjQ2LWI0NzktYzkwNzZmZWM1NTQ3XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Suspicious Partner,7.7,"Comedy,Crime,Drama",9.1K,"A young woman grows close to a prosecutor as she works with him as a trainee in a murder case. However, things take a turn when she inexplicably becomes a suspect.",TV-14,Ji Chang-wook,Nam Ji-hyun,2017,2017,['Kwon Ki-yeong'],['Park Seon-ho'],tt6720154,30,"https://m.media-amazon.com/images/M/MV5BMTg4YjAyNWEtYjc1YS00NTQ4LWJhMTgtODcwNzQ4MDI4Y2Y3XkEyXkFqcGc@._V1_QL75_UX180_CR0,1,180,266_.jpg"
